uid;user_behavioral_profile;date;arrival_times;permanence_times;trajectory;sem_trajectory
1;0;11/07/18;[14,21,30];[20,7,14];[53,53,53];[4,4,4]
1;0;16/02/22;[12,14,16,18];[59,59,59,59];[5,7,13,14];[4,4,4,4]
1;0;23/02/22;[12,14,16,18];[59,59,59,59];[22,34,35,36];[4,4,4,4]
2;0;06/09/17;[14,28];[10,5];[34,34];[4,4]
2;0;13/09/17;[12,24];[4,14];[34,34];[4,4]
2;0;17/09/17;[16,28];[16,5];[53,53];[4,4]
2;0;20/09/17;[14,28];[7,7];[34,34];[4,4]
2;0;27/09/17;[14,25];[13,11];[34,34];[4,4]
2;0;04/10/17;[16,37];[15,6];[34,34];[4,4]
2;0;11/10/17;[16,31];[11,8];[34,34];[4,4]
2;0;18/10/17;[16,28];[2,7];[34,34];[4,4]
2;0;25/10/17;[16,28];[6,9];[34,34];[4,4]
2;0;01/11/17;[12,33];[10,5];[34,34];[4,4]
2;0;08/11/17;[14,29];[12,5];[34,34];[4,4]
2;0;15/11/17;[10,23];[10,2];[34,34];[4,4]
2;0;22/11/17;[12,26];[5,11];[34,34];[4,4]
2;0;29/11/17;[10,26];[5,5];[34,34];[4,4]
2;0;06/12/17;[12,23];[7,8];[34,34];[4,4]
2;0;13/12/17;[12,24];[5,9];[34,34];[4,4]
2;0;20/12/17;[14,33];[3,13];[34,34];[4,4]
2;0;03/03/18;[18,26];[18,11];[53,53];[4,4]
2;0;07/03/18;[18,30];[16,3];[34,34];[4,4]
2;0;13/03/18;[30];[12];[34];[4]
2;0;14/03/18;[18,29];[10,4];[34,34];[4,4]
2;0;15/03/18;[29];[2];[34];[4]
2;0;16/03/18;[9];[25];[34];[4]
2;0;21/03/18;[16,28];[13,16];[34,34];[4,4]
2;0;26/03/18;[26];[10];[34];[4]
2;0;28/03/18;[14,32];[5,13];[34,34];[4,4]
2;0;04/04/18;[16,28];[17,18];[34,34];[4,4]
2;0;10/04/18;[28];[11];[34];[4]
2;0;11/04/18;[18,30];[6,6];[34,34];[4,4]
2;0;18/04/18;[16,29];[7,9];[34,34];[4,4]
2;0;22/04/18;[16,24,29];[9,14,6];[53,53,53];[4,4,4]
2;0;24/04/18;[29];[19];[34];[4]
2;0;25/04/18;[18,30];[9,2];[34,34];[4,4]
2;0;02/05/18;[20,29];[2,9];[34,34];[4,4]
2;0;09/05/18;[16,25];[11,15];[34,34];[4,4]
2;0;11/05/18;[6];[5];[34];[4]
2;0;16/05/18;[18,18,29];[4,18,13];[34,34,34];[4,4,4]
2;0;17/05/18;[29];[6];[34];[4]
2;0;23/05/18;[16,36];[12,9];[34,34];[4,4]
2;0;30/05/18;[18,31];[6,5];[34,34];[4,4]
3;0;03/09/17;[20,31];[18,16];[53,53];[4,4]
3;0;06/09/17;[16,26];[13,14];[34,34];[4,4]
3;0;13/09/17;[14,24];[8,15];[34,34];[4,4]
3;0;20/09/17;[14,29];[12,15];[34,34];[4,4]
3;0;27/09/17;[12,26];[5,15];[34,34];[4,4]
3;0;01/10/17;[16,28];[15,13];[53,53];[4,4]
3;0;04/10/17;[14,31];[11,13];[34,34];[4,4]
3;0;11/10/17;[14,24];[13,15];[34,34];[4,4]
3;0;18/10/17;[14,25];[4,13];[34,34];[4,4]
3;0;25/10/17;[12,26];[10,15];[34,34];[4,4]
3;0;01/11/17;[10,26];[13,10];[34,34];[4,4]
3;0;08/11/17;[12,22];[13,14];[34,34];[4,4]
3;0;15/11/17;[12,27];[8,2];[34,34];[4,4]
3;0;22/11/17;[12,30];[12,4];[34,34];[4,4]
3;0;29/11/17;[12,28];[10,15];[34,34];[4,4]
3;0;06/12/17;[14,24];[11,13];[34,34];[4,4]
3;0;13/12/17;[12,23];[3,8];[34,34];[4,4]
3;0;20/12/17;[12,24];[8,13];[34,34];[4,4]
3;0;17/01/18;[10,20];[3,5];[34,34];[4,4]
3;0;02/03/18;[33,33];[11,7];[34,34];[4,4]
3;0;07/03/18;[10,17];[9,7];[34,34];[4,4]
3;0;14/03/18;[10,27];[7,9];[34,34];[4,4]
3;0;18/03/18;[20,28];[9,14];[53,53];[4,4]
3;0;21/03/18;[10,23];[11,9];[34,34];[4,4]
3;0;28/03/18;[10,16];[11,8];[34,34];[4,4]
3;0;04/04/18;[10,20];[2,11];[34,34];[4,4]
3;0;05/04/18;[36];[12];[35];[4]
3;0;10/04/18;[29];[5];[34];[4]
3;0;11/04/18;[10,17];[6,9];[34,34];[4,4]
3;0;18/04/18;[12,12,20];[12,10,11];[34,34,34];[4,4,4]
3;0;25/04/18;[14,19,26];[12,2,7];[34,34,34];[4,4,4]
3;0;30/04/18;[19,19,20];[5,10,13];[34,34,34];[4,4,4]
3;0;02/05/18;[10,12,17];[6,9,6];[34,34,34];[4,4,4]
3;0;09/05/18;[10,10,19];[9,6,7];[34,34,34];[4,4,4]
3;0;16/05/18;[10,20];[14,13];[34,34];[4,4]
3;0;23/05/18;[10,18];[7,14];[34,34];[4,4]
3;0;27/05/18;[20,22,34];[7,8,15];[53,53,53];[4,4,4]
3;0;29/05/18;[28];[6];[34];[4]
3;0;30/05/18;[10,19];[14,2];[34,34];[4,4]
3;0;06/06/18;[10,18];[2,10];[34,34];[4,4]
3;0;06/07/18;[22];[6];[34];[4]
3;0;21/07/18;[8,25];[12,15];[53,53];[4,4]
4;0;06/09/17;[16,32];[22,15];[36,36];[4,4]
4;0;13/09/17;[12,22];[8,12];[36,36];[4,4]
4;0;20/09/17;[14,24];[9,6];[36,36];[4,4]
